vehicle_id,frame_number,timestamp,vehicle_type,x_position,y_position,speed,direction
11,1202,48.08,Person,388.5,325.83,3.722,300.68
11,1251,50.04,Person,405.17,341.33,3.3687,81.86
11,1267,50.68,Person,397.0,319.5,1.9977,107.74
11,1289,51.56,Person,404.67,294.5,3.4659,102.97
11,1307,52.28,Person,409.67,275.5,3.7462,34.97
11,1319,52.76,Person,420.0,283.67,3.0307,261.47
11,1347,53.88,Person,418.67,310.83,3.4421,257.35
11,1352,54.08,Person,413.67,342.67,4.9514,284.38
11,1366,54.64,Person,419.17,352.17,4.8632,266.53
11,1395,55.8,Person,414.33,348.83,4.7383,84.25
11,1403,56.12,Person,415.25,339.75,3.7807,130.91
12,2,0.08,Person,478.75,388.75,2.6783,0.0
12,22,0.88,Person,482.5,406.5,3.8502,290.34
12,58,2.32,Person,494.33,420.83,5.4513,104.87
12,69,2.76,Person,505.17,417.0,4.4609,58.75
12,88,3.52,Person,503.17,380.5,3.0164,58.77
12,111,4.44,Person,511.33,370.17,4.354,110.47
12,120,4.8,Person,506.33,372.33,6.1599,299.28
12,134,5.36,Person,517.17,403.0,5.8304,264.85
12,139,5.56,Person,519.17,415.33,3.809,59.19
12,157,6.28,Person,524.17,402.5,1.7859,70.78
12,169,6.76,Person,538.33,385.83,3.169,45.85
12,188,7.52,Person,544.17,384.83,2.6221,2.53
12,226,9.04,Person,531.5,378.0,4.478,187.25
12,244,9.76,Person,519.33,368.5,5.475,134.07
12,259,10.36,Person,516.0,344.0,6.1321,40.03
12,268,10.72,Person,529.67,362.5,4.9129,293.49
12,289,11.56,Person,528.0,391.5,3.3207,264.73
12,300,12.0,Person,530.67,416.33,3.3636,107.69
12,324,12.96,Person,543.83,389.5,5.3938,58.81
12,335,13.4,Person,561.33,356.33,5.2726,64.33
12,349,13.96,Person,572.67,337.67,5.3619,63.34
12,376,15.04,Person,570.33,338.33,3.1152,273.91
12,383,15.32,Person,570.83,359.17,2.6696,253.92
12,472,18.88,Person,582.17,388.5,1.8267,290.81
12,490,19.6,Person,590.33,419.33,1.0916,308.91
12,539,21.56,Person,589.5,413.83,1.3739,146.94
12,581,23.24,Person,562.33,409.5,1.484,136.85
12,652,26.08,Person,524.33,393.17,2.8846,197.02
12,673,26.92,Person,513.67,392.67,2.7366,125.08
12,715,28.6,Person,516.67,370.0,2.7705,20.4
12,754,30.16,Person,548.33,337.67,2.0671,74.31
12,783,31.32,Person,559.33,289.33,3.0858,69.54
12,802,32.08,Person,562.0,254.17,3.3119,103.12
12,823,32.92,Person,545.33,219.17,3.0027,150.73
12,846,33.84,Person,522.5,201.0,2.5514,120.43
12,855,34.2,Person,505.67,184.83,4.7587,185.3
12,858,34.32,Person,504.33,193.67,5.8148,280.57
12,867,34.68,Person,504.0,206.0,6.9447,302.2
12,871,34.84,Person,494.0,222.83,6.1317,210.25
12,885,35.4,Person,471.5,222.5,5.1718,193.57
12,914,36.56,Person,459.33,223.5,3.1624,107.56
12,945,37.8,Person,459.33,203.67,1.9134,26.2
12,969,38.76,Person,460.17,203.0,2.7128,103.88
12,973,38.92,Person,456.67,229.0,4.0235,259.02
12,991,39.64,Person,450.67,263.33,4.521,269.66
12,996,39.84,Person,448.0,279.17,4.1257,107.61
12,1012,40.48,Person,436.83,277.5,2.973,139.85
12,1068,42.72,Person,426.17,266.33,2.4054,215.1
12,1097,43.88,Person,414.0,274.33,2.2817,109.26
12,1112,44.48,Person,406.17,250.33,2.7927,164.03
12,1146,45.84,Person,409.67,228.33,3.8364,86.38
12,1168,46.72,Person,412.83,178.0,4.5284,68.52
12,1188,47.52,Person,417.67,146.17,3.7737,101.53
12,1202,48.08,Person,416.5,129.83,2.3652,282.11
12,1228,49.12,Person,410.33,132.5,2.689,265.49
12,1241,49.64,Person,404.17,130.33,3.2011,157.29
12,1255,50.2,Person,389.67,126.5,3.5153,131.02
12,1268,50.72,Person,388.33,116.5,2.3277,166.51
12,1285,51.4,Person,384.33,107.17,2.5463,74.58
12,1297,51.88,Person,389.5,101.33,2.9236,133.81
12,1318,52.72,Person,387.33,105.67,4.3676,292.9
12,1321,52.84,Person,391.17,106.17,3.9194,139.64
12,1351,54.04,Person,393.33,94.83,3.2857,75.03
12,1374,54.96,Person,400.5,84.33,1.3893,38.12
12,1394,55.76,Person,404.75,81.0,1.2873,302.01
13,3,0.12,Car,398.5,402.0,17.0157,0.0
13,83,3.32,Car,378.67,402.67,24.0271,173.29
13,171,6.84,Car,360.33,408.83,36.8821,253.22
13,173,6.92,Car,356.67,399.83,40.8543,13.28
13,294,11.76,Car,376.83,415.0,42.3209,93.07
13,939,37.56,Car,346.5,406.5,43.2883,259.7
13,1334,53.36,Car,330.67,404.33,40.7831,146.72
13,1336,53.44,Car,310.5,393.67,35.6181,19.14
13,1402,56.08,Car,322.5,389.5,32.6934,300.51
14,4,0.16,Car,353.5,83.25,16.6725,0.0
14,5,0.2,Car,335.33,92.17,20.239,190.77
14,23,0.92,Car,316.0,91.83,32.2124,203.39
14,58,2.32,Car,313.5,106.67,33.3494,12.93
14,64,2.56,Car,311.67,104.0,38.1183,291.72
