time,vehicle_id,pedestrian_id,distance,vehicle_speed,ttc
359.0,bike_flow_2.25,ped_51,15.01,8.05,1.87
359.0,bike_flow_2.25,ped_52,7.55,8.05,0.94
359.0,bike_flow_2.26,ped_41,4.84,5.14,0.94
359.0,bike_flow_2.26,ped_42,8.2,5.14,1.6
359.0,bike_flow_2.26,ped_44,7.21,5.14,1.4
359.0,bike_flow_2.26,ped_49,6.4,5.14,1.25
359.0,bike_flow_2.26,ped_51,6.45,5.14,1.25
359.0,bike_flow_2.26,ped_52,12.16,5.14,2.37
359.0,bike_flow_2.26,ped_54,7.91,5.14,1.54
359.0,bike_flow_2.27,ped_41,7.53,3.54,2.13
359.0,bike_flow_2.27,ped_43,8.04,3.54,2.28
359.0,bike_flow_2.27,ped_54,3.95,3.54,1.12
359.0,bike_flow_2.28,ped_43,6.14,3.81,1.61
360.0,bike_flow_2.26,ped_41,10.09,5.55,1.82
360.0,bike_flow_2.26,ped_42,13.49,5.55,2.43
360.0,bike_flow_2.26,ped_44,12.77,5.55,2.3
360.0,bike_flow_2.26,ped_48,11.81,5.55,2.13
360.0,bike_flow_2.26,ped_49,9.16,5.55,1.65
360.0,bike_flow_2.26,ped_51,8.64,5.55,1.56
360.0,bike_flow_2.26,ped_52,7.35,5.55,1.32
360.0,bike_flow_2.26,ped_54,11.55,5.55,2.08
360.0,bike_flow_2.27,ped_41,5.18,3.69,1.41
360.0,bike_flow_2.27,ped_42,10.94,3.69,2.97
360.0,bike_flow_2.27,ped_43,10.66,3.69,2.89
360.0,bike_flow_2.27,ped_44,10.35,3.69,2.81
360.0,bike_flow_2.27,ped_54,2.97,3.69,0.8
360.0,bike_flow_2.28,ped_41,14.15,6.31,2.24
360.0,bike_flow_2.28,ped_43,3.21,6.31,0.51
360.0,bike_flow_2.28,ped_54,11.63,6.31,1.84
361.0,bike_flow_2.26,ped_41,15.94,5.9,2.7
361.0,bike_flow_2.26,ped_48,7.23,5.9,1.23
